symbol,date,trending
AMZN,19-Dec-09,8
AMZN,26-Dec-09,9
AMZN,2-Jan-10,9
AMZN,9-Jan-10,8
AMZN,16-Jan-10,8
AMZN,23-Jan-10,8
AMZN,30-Jan-10,9
AMZN,6-Feb-10,9
AMZN,13-Feb-10,10
AMZN,20-Feb-10,13
AMZN,27-Feb-10,11
AMZN,6-Mar-10,12
AMZN,13-Mar-10,14
AMZN,20-Mar-10,14
AMZN,27-Mar-10,17
AMZN,3-Apr-10,18
AMZN,10-Apr-10,21
AMZN,17-Apr-10,43
AMZN,24-Apr-10,42
AMZN,1-May-10,35
AMZN,8-May-10,42
AMZN,15-May-10,100
AMZN,22-May-10,83
AMZN,29-May-10,58
AMZN,5-Jun-10,46
AMZN,12-Jun-10,37
AMZN,19-Jun-10,34
AMZN,26-Jun-10,32
AMZN,3-Jul-10,32
AMZN,10-Jul-10,31
AMZN,17-Jul-10,31
AMZN,24-Jul-10,32
AMZN,31-Jul-10,35
AMZN,7-Aug-10,33
AMZN,14-Aug-10,33
AMZN,21-Aug-10,32
AMZN,28-Aug-10,29
AMZN,4-Sep-10,25
AMZN,11-Sep-10,25
AMZN,18-Sep-10,25
AMZN,25-Sep-10,24
AMZN,2-Oct-10,23
AMZN,9-Oct-10,24
AMZN,16-Oct-10,22
AMZN,23-Oct-10,21
AMZN,30-Oct-10,19
AMZN,6-Nov-10,22
AMZN,13-Nov-10,17
AMZN,20-Nov-10,17
AMZN,27-Nov-10,19
AMZN,4-Dec-10,19
AMZN,11-Dec-10,20
AMZN,18-Dec-10,22
AMZN,25-Dec-10,26
AMZN,1-Jan-11,33
AMZN,8-Jan-11,23
AMZN,15-Jan-11,20
AMZN,22-Jan-11,22
AMZN,29-Jan-11,21
AMZN,5-Feb-11,20
AMZN,12-Feb-11,18
AMZN,19-Feb-11,18
AMZN,26-Feb-11,19
AMZN,5-Mar-11,17
AMZN,12-Mar-11,18
AMZN,19-Mar-11,17
AMZN,26-Mar-11,17
AMZN,2-Apr-11,17
AMZN,9-Apr-11,18
AMZN,16-Apr-11,18
AMZN,23-Apr-11,22
AMZN,30-Apr-11,21
AMZN,7-May-11,18
AMZN,14-May-11,17
AMZN,21-May-11,17
AMZN,28-May-11,14
AMZN,4-Jun-11,18
AMZN,11-Jun-11,14
AMZN,18-Jun-11,17
AMZN,25-Jun-11,19
AMZN,2-Jul-11,19
AMZN,9-Jul-11,17
AMZN,16-Jul-11,21
AMZN,23-Jul-11,20
AMZN,30-Jul-11,21
AMZN,6-Aug-11,24
AMZN,13-Aug-11,25
AMZN,20-Aug-11,21
AMZN,27-Aug-11,20
AMZN,3-Sep-11,20
AMZN,10-Sep-11,18
AMZN,17-Sep-11,18
AMZN,24-Sep-11,17
AMZN,1-Oct-11,15
AMZN,8-Oct-11,18
AMZN,15-Oct-11,17
AMZN,22-Oct-11,17
AMZN,29-Oct-11,17
AMZN,5-Nov-11,19
AMZN,12-Nov-11,16
AMZN,19-Nov-11,14
AMZN,26-Nov-11,17
AMZN,3-Dec-11,16
AMZN,10-Dec-11,17
AMZN,17-Dec-11,18
AMZN,24-Dec-11,22
AMZN,31-Dec-11,28
AMZN,7-Jan-12,20
AMZN,14-Jan-12,18
AMZN,21-Jan-12,17
AMZN,28-Jan-12,19
AMZN,4-Feb-12,18
AMZN,11-Feb-12,18
AMZN,18-Feb-12,18
AMZN,25-Feb-12,19
AMZN,3-Mar-12,18
AMZN,10-Mar-12,19
AMZN,17-Mar-12,16
AMZN,24-Mar-12,16
AMZN,31-Mar-12,16
AMZN,7-Apr-12,23
AMZN,14-Apr-12,22
AMZN,21-Apr-12,18
AMZN,28-Apr-12,16
AMZN,5-May-12,18
AMZN,12-May-12,16
AMZN,19-May-12,15
AMZN,26-May-12,15
AMZN,2-Jun-12,17
AMZN,9-Jun-12,17
AMZN,16-Jun-12,15
AMZN,23-Jun-12,15
AMZN,30-Jun-12,19
AMZN,7-Jul-12,17
AMZN,14-Jul-12,20
AMZN,21-Jul-12,21
AMZN,28-Jul-12,20
AMZN,4-Aug-12,20
AMZN,11-Aug-12,19
AMZN,18-Aug-12,19
AMZN,25-Aug-12,18
AMZN,1-Sep-12,18
AMZN,8-Sep-12,17
AMZN,15-Sep-12,17
AMZN,22-Sep-12,16
AMZN,29-Sep-12,17
AMZN,6-Oct-12,15
AMZN,13-Oct-12,15
AMZN,20-Oct-12,14
AMZN,27-Oct-12,23
AMZN,3-Nov-12,18
AMZN,10-Nov-12,14
AMZN,17-Nov-12,15
AMZN,24-Nov-12,13
AMZN,1-Dec-12,12
AMZN,8-Dec-12,15
AMZN,15-Dec-12,15
AMZN,22-Dec-12,18
AMZN,29-Dec-12,21
AMZN,5-Jan-13,20
AMZN,12-Jan-13,15
AMZN,19-Jan-13,16
AMZN,26-Jan-13,16
AMZN,2-Feb-13,16
AMZN,9-Feb-13,16
AMZN,16-Feb-13,15
AMZN,23-Feb-13,15
AMZN,2-Mar-13,15
AMZN,9-Mar-13,16
AMZN,16-Mar-13,14
AMZN,23-Mar-13,16
AMZN,30-Mar-13,17
AMZN,6-Apr-13,16
AMZN,13-Apr-13,14
AMZN,20-Apr-13,14
AMZN,27-Apr-13,16
AMZN,4-May-13,14
AMZN,11-May-13,15
AMZN,18-May-13,14
AMZN,25-May-13,16
AMZN,1-Jun-13,16
AMZN,8-Jun-13,15
AMZN,15-Jun-13,15
AMZN,22-Jun-13,17
AMZN,29-Jun-13,16
AMZN,6-Jul-13,17
AMZN,13-Jul-13,18
AMZN,20-Jul-13,20
AMZN,27-Jul-13,20
AMZN,3-Aug-13,17
AMZN,10-Aug-13,18
AMZN,17-Aug-13,19
AMZN,24-Aug-13,17
AMZN,31-Aug-13,16
AMZN,7-Sep-13,14
AMZN,14-Sep-13,12
AMZN,21-Sep-13,12
AMZN,28-Sep-13,11
AMZN,5-Oct-13,11
AMZN,12-Oct-13,11
AMZN,19-Oct-13,11
AMZN,26-Oct-13,10
AMZN,2-Nov-13,13
AMZN,9-Nov-13,10
AMZN,16-Nov-13,11
AMZN,23-Nov-13,11
AMZN,30-Nov-13,13
AMZN,7-Dec-13,12
AMZN,14-Dec-13,13
AMZN,21-Dec-13,15
AMZN,28-Dec-13,17
AMZN,4-Jan-14,18
AMZN,11-Jan-14,28
AMZN,18-Jan-14,31
AMZN,25-Jan-14,26
AMZN,1-Feb-14,21
AMZN,8-Feb-14,21
AMZN,15-Feb-14,25
AMZN,22-Feb-14,23
AMZN,1-Mar-14,34
AMZN,8-Mar-14,38
AMZN,15-Mar-14,29
AMZN,22-Mar-14,24
AMZN,29-Mar-14,25
AMZN,5-Apr-14,25
AMZN,12-Apr-14,26
AMZN,19-Apr-14,27
AMZN,26-Apr-14,30
AMZN,3-May-14,26
AMZN,10-May-14,23
AMZN,17-May-14,23
AMZN,24-May-14,21
AMZN,31-May-14,22
