symbol,date,trending
AMZN,16-Sep-07,8
AMZN,23-Sep-07,7
AMZN,30-Sep-07,7
AMZN,7-Oct-07,7
AMZN,14-Oct-07,7
AMZN,21-Oct-07,20
AMZN,28-Oct-07,19
AMZN,4-Nov-07,14
AMZN,11-Nov-07,18
AMZN,18-Nov-07,20
AMZN,25-Nov-07,12
AMZN,2-Dec-07,11
AMZN,9-Dec-07,9
AMZN,16-Dec-07,11
AMZN,23-Dec-07,10
AMZN,30-Dec-07,18
AMZN,6-Jan-08,7
AMZN,13-Jan-08,8
AMZN,20-Jan-08,11
AMZN,27-Jan-08,8
AMZN,3-Feb-08,8
AMZN,10-Feb-08,7
AMZN,17-Feb-08,9
AMZN,24-Feb-08,10
AMZN,2-Mar-08,8
AMZN,9-Mar-08,7
AMZN,16-Mar-08,8
AMZN,23-Mar-08,10
AMZN,30-Mar-08,11
AMZN,6-Apr-08,12
AMZN,13-Apr-08,14
AMZN,20-Apr-08,13
AMZN,27-Apr-08,10
AMZN,4-May-08,15
AMZN,11-May-08,9
AMZN,18-May-08,19
AMZN,25-May-08,11
AMZN,1-Jun-08,15
AMZN,8-Jun-08,20
AMZN,15-Jun-08,15
AMZN,22-Jun-08,13
AMZN,29-Jun-08,11
AMZN,6-Jul-08,10
AMZN,13-Jul-08,10
AMZN,20-Jul-08,9
AMZN,27-Jul-08,11
AMZN,3-Aug-08,8
AMZN,10-Aug-08,10
AMZN,17-Aug-08,11
AMZN,24-Aug-08,13
AMZN,31-Aug-08,16
AMZN,7-Sep-08,10
AMZN,14-Sep-08,11
AMZN,21-Sep-08,8
AMZN,28-Sep-08,6
AMZN,5-Oct-08,12
AMZN,12-Oct-08,19
AMZN,19-Oct-08,15
AMZN,26-Oct-08,16
AMZN,2-Nov-08,18
AMZN,9-Nov-08,19
AMZN,16-Nov-08,22
AMZN,23-Nov-08,16
AMZN,30-Nov-08,12
AMZN,7-Dec-08,17
AMZN,14-Dec-08,24
AMZN,21-Dec-08,24
AMZN,28-Dec-08,17
AMZN,4-Jan-09,14
AMZN,11-Jan-09,16
AMZN,18-Jan-09,10
AMZN,25-Jan-09,18
AMZN,1-Feb-09,17
AMZN,8-Feb-09,16
AMZN,15-Feb-09,16
AMZN,22-Feb-09,19
AMZN,1-Mar-09,27
AMZN,8-Mar-09,17
AMZN,15-Mar-09,12
AMZN,22-Mar-09,13
AMZN,29-Mar-09,17
AMZN,5-Apr-09,18
AMZN,12-Apr-09,22
AMZN,19-Apr-09,19
AMZN,26-Apr-09,19
AMZN,3-May-09,19
AMZN,10-May-09,22
AMZN,17-May-09,27
AMZN,24-May-09,27
AMZN,31-May-09,22
AMZN,7-Jun-09,21
AMZN,14-Jun-09,27
AMZN,21-Jun-09,22
AMZN,28-Jun-09,25
AMZN,5-Jul-09,26
AMZN,12-Jul-09,25
AMZN,19-Jul-09,22
AMZN,26-Jul-09,24
AMZN,2-Aug-09,21
AMZN,9-Aug-09,18
AMZN,16-Aug-09,19
AMZN,23-Aug-09,15
AMZN,30-Aug-09,14
AMZN,6-Sep-09,16
AMZN,13-Sep-09,23
AMZN,20-Sep-09,24
AMZN,27-Sep-09,22
AMZN,4-Oct-09,24
AMZN,11-Oct-09,21
AMZN,18-Oct-09,17
AMZN,25-Oct-09,22
AMZN,1-Nov-09,23
AMZN,8-Nov-09,22
AMZN,15-Nov-09,25
AMZN,22-Nov-09,33
AMZN,29-Nov-09,23
AMZN,6-Dec-09,24
AMZN,13-Dec-09,26
AMZN,20-Dec-09,29
AMZN,27-Dec-09,25
AMZN,3-Jan-10,18
AMZN,10-Jan-10,32
AMZN,17-Jan-10,28
AMZN,24-Jan-10,29
AMZN,31-Jan-10,28
AMZN,7-Feb-10,27
AMZN,14-Feb-10,26
AMZN,21-Feb-10,21
AMZN,28-Feb-10,20
AMZN,7-Mar-10,24
AMZN,14-Mar-10,23
AMZN,21-Mar-10,20
AMZN,28-Mar-10,29
AMZN,4-Apr-10,19
AMZN,11-Apr-10,21
AMZN,18-Apr-10,24
AMZN,25-Apr-10,21
AMZN,2-May-10,20
AMZN,9-May-10,19
AMZN,16-May-10,25
AMZN,23-May-10,29
AMZN,30-May-10,27
AMZN,6-Jun-10,25
AMZN,13-Jun-10,19
AMZN,20-Jun-10,21
AMZN,27-Jun-10,18
AMZN,4-Jul-10,18
AMZN,11-Jul-10,20
AMZN,18-Jul-10,21
AMZN,25-Jul-10,20
AMZN,1-Aug-10,19
AMZN,8-Aug-10,20
AMZN,15-Aug-10,16
AMZN,22-Aug-10,15
AMZN,29-Aug-10,17
AMZN,5-Sep-10,17
AMZN,12-Sep-10,19
AMZN,19-Sep-10,14
AMZN,26-Sep-10,15
AMZN,3-Oct-10,17
AMZN,10-Oct-10,18
AMZN,17-Oct-10,19
AMZN,24-Oct-10,15
AMZN,31-Oct-10,21
AMZN,7-Nov-10,17
AMZN,14-Nov-10,19
AMZN,21-Nov-10,25
AMZN,28-Nov-10,18
AMZN,5-Dec-10,21
AMZN,12-Dec-10,24
AMZN,19-Dec-10,25
AMZN,26-Dec-10,16
AMZN,2-Jan-11,18
AMZN,9-Jan-11,17
AMZN,16-Jan-11,16
AMZN,23-Jan-11,18
AMZN,30-Jan-11,21
AMZN,6-Feb-11,20
AMZN,13-Feb-11,21
AMZN,20-Feb-11,20
AMZN,27-Feb-11,21
AMZN,6-Mar-11,20
AMZN,13-Mar-11,18
AMZN,20-Mar-11,20
AMZN,27-Mar-11,17
AMZN,3-Apr-11,22
AMZN,10-Apr-11,20
AMZN,17-Apr-11,22
AMZN,24-Apr-11,22
AMZN,1-May-11,20
AMZN,8-May-11,24
AMZN,15-May-11,26
AMZN,22-May-11,24
AMZN,29-May-11,27
AMZN,5-Jun-11,26
AMZN,12-Jun-11,28
AMZN,19-Jun-11,24
AMZN,26-Jun-11,19
AMZN,3-Jul-11,20
AMZN,10-Jul-11,22
AMZN,17-Jul-11,24
AMZN,24-Jul-11,23
AMZN,31-Jul-11,18
AMZN,7-Aug-11,21
AMZN,14-Aug-11,18
AMZN,21-Aug-11,13
AMZN,28-Aug-11,16
AMZN,4-Sep-11,16
AMZN,11-Sep-11,17
AMZN,18-Sep-11,14
AMZN,25-Sep-11,14
AMZN,2-Oct-11,16
AMZN,9-Oct-11,14
AMZN,16-Oct-11,17
AMZN,23-Oct-11,19
AMZN,30-Oct-11,15
AMZN,6-Nov-11,22
AMZN,13-Nov-11,20
AMZN,20-Nov-11,19
AMZN,27-Nov-11,19
AMZN,4-Dec-11,17
AMZN,11-Dec-11,18
AMZN,18-Dec-11,28
AMZN,25-Dec-11,21
AMZN,1-Jan-12,14
AMZN,8-Jan-12,13
AMZN,15-Jan-12,13
AMZN,22-Jan-12,17
AMZN,29-Jan-12,18
AMZN,5-Feb-12,19
AMZN,12-Feb-12,16
AMZN,19-Feb-12,20
AMZN,26-Feb-12,21
AMZN,4-Mar-12,15
